Step,Spectral_Sphere,AdamW
0,1.766,14.81
500,0.28515625,1.07
1000,0.2421875,0.5664
1500,0.151367188,0.7656
2000,0.223632813,1.078
2500,0.1796875,1.039
3000,0.190429688,0.8203
3500,0.171875,1.336
4000,0.237304688,0.8398
4500,0.171875,0.8718
5000,0.227539063,1.07
5500,0.217773438,0.9675
6000,0.240234375,0.6331
6500,0.1953125,0.5461
7000,0.197265625,0.784
7500,0.209960938,0.7109
8000,0.176757813,0.5287
8500,0.171875,0.6593
9000,0.211914063,0.6406
9500,0.221679688,0.3926
10000,0.142578125,0.4639
10500,0.162109375,0.5035
11000,0.158203125,0.6875
11500,0.157226563,0.5129
12000,0.149414063,0.5064
12500,0.171875,0.4843
13000,0.181640625,0.8086
13500,0.15234375,0.2969
14000,0.159179688,0.3047
14500,0.173828125,0.3184
15000,0.147460938,0.5313
15500,0.143554688,0.2617
16000,0.142578125,0.315
16500,0.177734375,0.2773
17000,0.150390625,0.2168
17500,0.192382813,0.2813
18000,0.171875,0.75
18500,0.166992188,0.2354
19000,0.185546875,0.2637
19500,0.15625,0.2432
20000,0.127929688,0.6719
20500,0.127929688,0.1855
21000,0.142578125,0.1895
21500,0.174804688,0.1973
22000,0.145507813,0.1792
22500,0.14484375,0.1533
23000,0.14453125,0.1729
